,ID,PERSONID,EMPLOYEEID,LASTNAME,FIRSTNAME,ACCESSDATE,LOCATION,CARDNUMBER
0,132,31634,NID31516,NID31516,NID31516,2021-08-21 06:20:35.843,72,300
1,145,31409,NID31296,NID31296,NID31296,2021-08-21 07:32:30.277,78,81
2,222,31409,NID31296,NID31296,NID31296,2021-08-21 09:16:43.090,93,81
3,224,31409,NID31296,NID31296,NID31296,2021-08-21 09:21:02.170,25,81
4,225,31634,NID31516,NID31516,NID31516,2021-08-21 09:29:54.340,59,300
5,228,31634,NID31516,NID31516,NID31516,2021-08-21 10:06:49.027,40,300
6,231,31634,NID31516,NID31516,NID31516,2021-08-21 10:27:46.137,95,300
7,232,31634,NID31516,NID31516,NID31516,2021-08-21 10:28:50.103,1,300
8,233,31634,NID31516,NID31516,NID31516,2021-08-21 10:29:25.090,87,300
9,234,31409,NID31296,NID31296,NID31296,2021-08-21 11:02:23.630,5,81
10,236,31409,NID31296,NID31296,NID31296,2021-08-21 11:06:24.040,30,81
11,239,31409,NID31296,NID31296,NID31296,2021-08-21 11:07:37.670,60,81
12,247,31409,NID31296,NID31296,NID31296,2021-08-21 11:12:22.177,68,81
13,257,31409,NID31296,NID31296,NID31296,2021-08-21 11:16:39.750,16,81
14,303,31634,NID31516,NID31516,NID31516,2021-08-21 12:14:40.527,21,300
15,304,31634,NID31516,NID31516,NID31516,2021-08-21 12:14:52.790,60,300
16,305,31634,NID31516,NID31516,NID31516,2021-08-21 12:16:12.963,28,300
17,306,31634,NID31516,NID31516,NID31516,2021-08-21 12:16:43.047,45,300
18,307,31634,NID31516,NID31516,NID31516,2021-08-21 12:17:26.590,73,300
19,308,31409,NID31296,NID31296,NID31296,2021-08-21 12:20:28.133,60,81
20,309,31409,NID31296,NID31296,NID31296,2021-08-21 12:21:40.910,18,81
21,310,31409,NID31296,NID31296,NID31296,2021-08-21 12:24:03.313,59,81
22,311,31409,NID31296,NID31296,NID31296,2021-08-21 12:26:16.957,87,81
23,312,31634,NID31516,NID31516,NID31516,2021-08-21 12:29:02.487,16,300
24,313,31409,NID31296,NID31296,NID31296,2021-08-21 12:29:20.003,6,81
25,315,31409,NID31296,NID31296,NID31296,2021-08-21 12:30:33.083,78,81
26,316,31409,NID31296,NID31296,NID31296,2021-08-21 12:32:38.967,73,81
27,317,31409,NID31296,NID31296,NID31296,2021-08-21 12:34:17.617,17,81
28,320,31409,NID31296,NID31296,NID31296,2021-08-21 13:14:29.167,39,81
29,322,31409,NID31296,NID31296,NID31296,2021-08-21 13:20:04.323,12,81
30,323,31409,NID31296,NID31296,NID31296,2021-08-21 13:20:43.317,74,81
31,325,31409,NID31296,NID31296,NID31296,2021-08-21 13:22:10.260,38,81
32,329,31409,NID31296,NID31296,NID31296,2021-08-21 13:26:01.457,98,81
33,331,31634,NID31516,NID31516,NID31516,2021-08-21 13:28:48.133,87,300
34,332,31409,NID31296,NID31296,NID31296,2021-08-21 13:29:23.973,70,81
35,333,31409,NID31296,NID31296,NID31296,2021-08-21 13:32:09.100,3,81
36,334,31409,NID31296,NID31296,NID31296,2021-08-21 13:32:54.597,38,81
37,335,31409,NID31296,NID31296,NID31296,2021-08-21 13:33:31.287,35,81
38,336,31409,NID31296,NID31296,NID31296,2021-08-21 13:35:37.323,81,81
39,339,31409,NID31296,NID31296,NID31296,2021-08-21 13:37:06.917,30,81
40,340,31409,NID31296,NID31296,NID31296,2021-08-21 13:40:11.463,45,81
41,341,31409,NID31296,NID31296,NID31296,2021-08-21 13:42:19.350,59,81
42,342,31409,NID31296,NID31296,NID31296,2021-08-21 13:48:13.930,77,81
43,343,31634,NID31516,NID31516,NID31516,2021-08-21 13:48:25.140,74,300
44,345,31634,NID31516,NID31516,NID31516,2021-08-21 13:50:09.703,1,300
45,346,31634,NID31516,NID31516,NID31516,2021-08-21 13:50:34.630,39,300
46,348,31409,NID31296,NID31296,NID31296,2021-08-21 14:00:41.177,71,81
47,350,31409,NID31296,NID31296,NID31296,2021-08-21 14:23:40.560,46,81
48,351,31409,NID31296,NID31296,NID31296,2021-08-21 14:24:17.897,42,81
49,352,31409,NID31296,NID31296,NID31296,2021-08-21 14:24:54.887,69,81
50,353,31409,NID31296,NID31296,NID31296,2021-08-21 14:25:23.117,27,81
51,354,31409,NID31296,NID31296,NID31296,2021-08-21 14:25:50.397,94,81
52,355,31409,NID31296,NID31296,NID31296,2021-08-21 14:26:20.780,75,81
53,356,31409,NID31296,NID31296,NID31296,2021-08-21 14:26:47.357,38,81
54,357,31409,NID31296,NID31296,NID31296,2021-08-21 14:27:13.387,14,81
55,358,31409,NID31296,NID31296,NID31296,2021-08-21 14:27:49.923,53,81
56,359,31409,NID31296,NID31296,NID31296,2021-08-21 14:28:20.207,10,81
